VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-15 22:24:21,2015-01-15 22:28:22,1,.80,-74.002494812011719,40.750137329101563,1,N,-73.991592407226562,40.751411437988281,2,5,0.5,0.5,0,0,0.3,6.3
2,2015-01-15 22:21:52,2015-01-15 22:28:03,1,.95,-73.988983154296875,40.752803802490234,1,N,-73.9898681640625,40.762550354003906,1,6,0.5,0.5,1.3,0,0.3,8.6
2,2015-01-15 22:23:13,2015-01-15 22:28:55,1,1.03,-73.973320007324219,40.754562377929687,1,N,-73.976577758789063,40.764575958251953,1,6,0.5,0.5,1.3,0,0.3,8.6
2,2015-01-15 21:56:04,2015-01-15 22:28:38,1,19.10,-73.782356262207031,40.644638061523438,2,N,-74.002723693847656,40.727222442626953,1,52,0,0.5,10.4,0,0.3,63.2
2,2015-01-15 22:19:52,2015-01-15 22:28:08,1,1.19,-73.991119384765625,40.749797821044922,1,N,-73.979316711425781,40.752811431884766,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2015-01-15 22:19:57,2015-01-15 22:28:20,1,1.10,-74.003318786621094,40.731712341308594,1,N,-73.999610900878906,40.720855712890625,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2015-01-15 22:19:57,2015-01-15 22:28:42,4,1.40,-73.982711791992188,40.768978118896484,1,N,-73.973052978515625,40.755020141601563,1,7.5,0.5,0.5,2.4,0,0.3,11.2
2,2015-01-15 22:21:56,2015-01-15 22:28:33,1,.65,-73.979278564453125,40.752590179443359,1,N,-73.981056213378906,40.74700927734375,1,6,0.5,0.5,1.3,0,0.3,8.6
2,2015-01-15 22:21:58,2015-01-15 22:28:55,5,1.13,-73.987419128417969,40.738651275634766,1,N,-73.9859619140625,40.726371765136719,1,6.5,0.5,0.5,1,0,0.3,8.8
2,2015-01-15 22:21:58,2015-01-15 22:28:06,1,1.40,-73.991310119628906,40.745029449462891,1,N,-73.987625122070313,40.732547760009766,2,7,0.5,0.5,0,0,0.3,8.3
2,2015-01-15 22:23:21,2015-01-15 22:28:12,1,.94,-73.979743957519531,40.767105102539062,1,N,-73.982078552246094,40.779644012451172,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2015-01-15 21:54:05,2015-01-15 22:28:16,1,8.50,-73.9720458984375,40.754043579101563,1,N,-73.85760498046875,40.724857330322266,1,29.5,0.5,0.5,6,0,0.3,36.8
2,2015-01-15 22:02:16,2015-01-15 22:28:29,1,5.97,-74.001564025878906,40.746231079101563,1,N,-73.971626281738281,40.675891876220703,1,22,0.5,0.5,4.5,0,0.3,27.8
2,2015-01-15 21:54:23,2015-01-15 22:28:35,1,6.81,-73.997138977050781,40.722419738769531,1,N,-73.949974060058594,40.785472869873047,1,26,0.5,0.5,4,0,0.3,31.3
2,2015-01-15 21:54:34,2015-01-15 22:28:30,1,13.35,-74.004737854003906,40.741954803466797,1,N,-73.814262390136719,40.709678649902344,1,40.5,0.5,0.5,5,5.33,0.3,52.13
2,2015-01-15 22:03:06,2015-01-15 22:28:42,6,16.68,-73.785781860351563,40.645721435546875,2,N,-73.985069274902344,40.746311187744141,1,52,0,0.5,11.63,5.33,0.3,69.76
1,2015-01-15 22:24:49,2015-01-15 22:28:51,1,1.30,-73.981513977050781,40.776134490966797,1,N,-73.972000122070313,40.792255401611328,2,6,0.5,0.5,0,0,0.3,7.3
1,2015-01-15 22:24:52,2015-01-15 22:28:25,1,.70,-74.001976013183594,40.719333648681641,1,N,-74.010322570800781,40.711540222167969,1,5,0.5,0.5,0,0,0.3,6.3
1,2015-01-15 22:24:59,2015-01-15 22:28:55,4,.30,-73.973068237304688,40.759780883789063,1,N,-73.972129821777344,40.755813598632812,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-01-15 22:03:21,2015-01-15 22:28:37,1,18.90,-73.784889221191406,40.648693084716797,2,N,-73.94683837890625,40.776340484619141,1,52,0,0.5,12,5.33,0.3,70.13
1,2015-01-15 21:47:11,2015-01-15 22:28:33,1,10.60,-73.980751037597656,40.781517028808594,1,Y,-73.983253479003906,40.679111480712891,1,38,0.5,0.5,2,0,0.3,41.3
1,2015-01-15 22:25:03,2015-01-15 22:28:37,1,.50,-73.994804382324219,40.739055633544922,1,N,-73.987327575683594,40.736415863037109,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,2015-01-15 22:25:05,2015-01-15 22:28:21,2,.60,-73.939537048339844,40.750740051269531,1,Y,-73.949081420898437,40.754020690917969,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2015-01-15 22:25:12,2015-01-15 22:28:50,1,.70,-74.005500793457031,40.750904083251953,1,N,-73.99273681640625,40.745269775390625,1,5,0.5,0.5,0.8,0,0.3,7.1
2,2015-01-15 22:03:29,2015-01-15 22:28:05,1,3.63,-73.958427429199219,40.708522796630859,1,N,-73.90606689453125,40.687969207763672,2,17.5,0.5,0.5,0,0,0.3,18.8
